Time,Ixx,Iyy,Roll_Rate,Speed,Mach,Alt,Dyn_Pres,AoA_Rate,Sideslip_Rate,AoA,Sideslip
8.353225,3.3658850867,1023.6442578394,576.3836010688,0.4119443811,1.2340306476,1.6711266049,88263.2059235577,-0.1722876139,-0.0633155042,-0.0019775651,-0.0004879594
8.3674875,3.3644124077,1023.1736323612,577.3881835312,0.4126334038,1.236178117,1.6768867759,88507.8606522054,-0.1146721903,-0.0936753461,-0.0040589817,-0.0016414745
8.38175,3.3629397287,1022.703006883,578.3993454775,0.4133224529,1.2383260994,1.6826564915,88752.6186586583,-0.0372491677,-0.090965826,-0.0051536389,-0.0030011321
8.3960125,3.3614670497,1022.2323814048,579.4142440068,0.4140115291,1.2404745978,1.6884357513,88997.4789180533,0.0386857905,-0.0532541923,-0.0051288278,-0.0040680559
8.410275,3.3599943707,1021.7617559267,580.4293530909,0.4147006331,1.242623615,1.6942245553,89242.4404079862,0.0932809698,0.0103677143,-0.0041527534,-0.0043956467
8.4245375,3.3585216918,1021.2911304485,581.4410506496,0.4153897656,1.2447731542,1.7000229039,89487.5021008071,0.1138173034,0.0824197962,-0.0026316561,-0.0037317094
8.4388,3.3570490128,1020.8205049703,582.4462196123,0.4160789274,1.2469232183,1.7058307978,89732.6629570268,0.0981954735,0.1422072499,-0.0010798074,-0.0021034139
8.4530625,3.3555763338,1020.3498794921,583.4427676836,0.416768119,1.2490738102,1.7116482381,89977.9219246326,0.0552083414,0.1719812813,3.79721139777065E-005,0.0001807081
8.467325,3.3541036548,1019.8792540139,584.429980998,0.4174573411,1.2512249326,1.7174752259,90223.2779450636,0.0015514809,0.1622412172,0.0004438618,0.0026126707
8.4815875,3.3526309758,1019.4086285357,585.4086505495,0.4181465944,1.2533765886,1.7233117625,90468.7299633453,-0.0434972278,0.114590181,0.0001237204,0.0046266519
8.49585,3.3511582968,1018.9380030575,586.3809457449,0.4188358795,1.255528781,1.7291578489,90714.2769374115,-0.0641015051,0.0412918117,-0.0006793109,0.0057582644
